"row ID","SMILES","Mtb Activity","IC90 Modifier","IC90","Vero Activity","IC50 Modifier","IC50","Aromatic Atoms Count","Bond Polarizabilities","VABC Volume Descriptor","Hydrogen Bond Acceptors","Hydrogen Bond Donors","Rotatable Bonds Count","Topological Polar Surface Area","Molecular Weight","XLogP","Formal Charge","SP3 Character"
"14729406","CCCOP(=O)(C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])OCCC","Active",,7.7,"Active",,24.214,6,35.88231199999999,318.5205439114479,3,0,17,131.62,400.0647221420004,3.51,0,0.16666666666666666
"14729468","CNC1=C(N=NC(=N1)C2=CC=CC=N2)C3=CC=CC=C3","Active",,25.43,"Active",,13.313,18,18.831690999999996,229.48252472003398,5,1,4,63.59,263.1170954160002,2.168,0,0.030303030303030304
"14729579","CC(C)(C)C1=NC2=C(C3=C(S2)CCCC3)C(=O)O1","Inactive",,,"Inactive",,,9,25.058518999999993,239.27127022422266,1,0,4,71.34,263.0979997840002,2.6630000000000003,0,0.22857142857142856
"14729589","CC1=CC(=CC(=C1)N2C(=C3C(=NN=C(C3=C2C)C)C)C)C","Active",,79.73,"Active",">",40.0,15,26.257346999999992,264.649875582901,2,0,7,30.71,279.1735476720006,4.251,0,0.14285714285714285
"14729678","CC(=O)NC(C(Cl)(Cl)Cl)SC(=S)N(C)C","Active",,33.54,"Active",">",40.0,0,20.303276999999994,237.79043222366124,3,1,11,89.73,307.9378380120003,2.2520000000000002,0,0.19230769230769232
"14729679","CC1(C(SC(=S)N1C)N(C(=O)NC2=CC(=C(C=C2)Cl)Cl)O)C","Active",,26.63,"Active",,38.928,6,24.916104999999998,302.6199656131562,3,2,8,113.2,378.9982740800004,3.1090000000000004,0,0.13513513513513514
"14729799","COC(=O)C1=CC=C(C=C1)CSC2=NC3=C(O2)C=CC(=C3)Cl","Inactive",,,"Inactive",,,15,21.928483999999994,265.5186991437506,3,0,7,77.63000000000001,333.0226419240003,3.9620000000000006,0,0.058823529411764705
"14729821","C1=CC(=CC=C1C(=O)OCN2C(=O)C(=C(C=N2)Br)Br)F","Active",,4.77,"Active",,9.099,12,17.247448999999996,255.03914322745692,3,0,7,61.19,403.8807445040002,3.77,0,0.037037037037037035
"14729974","C1=CC=C(C(=C1)C2=NN=CO2)OC(=O)C3=CC=C(C=C3)Cl","Active",,73.59,"Active",,21.768,17,16.368862999999997,238.07399196765053,3,0,5,65.22,300.0301698280002,5.016,0,0.0
"14730000","CC1(C2NC(=S)N(N2C(=S)N1)C3=CC=CC=C3)C4=CC(=C(C=C4)Cl)Cl","Inactive",,,"Inactive",,,12,22.384897999999996,321.6979174196681,4,2,5,94.72000000000001,408.0036938080004,4.385000000000001,0,0.07692307692307693
"14730056","C1=CC(=C2C(=C1F)C(=O)C(=CN2)C3=C(C=C(C=N3)C(F)(F)F)Cl)F","Active",,11.34,"Inactive",,,16,15.932241999999995,264.36779151886026,1,1,8,45.75,360.00888159200014,5.369,0,0.03333333333333333
"14730097","C1CN(CCC1C2=CC(=NN2)C3=CC(=CC=C3)C(F)(F)F)C4=C(C=CC=N4)[N+](=O)[O-]","Active",,34.37,"Active",,28.658,17,28.502725999999992,339.3891191006098,3,1,9,87.95,417.1412594760005,5.526,0,0.125
"14730202","C1=CC(=C(C=C1NC(=O)O/N=C(/C2=C(C=C(C=N2)C(F)(F)F)Cl)\N)Cl)Cl","Active",,35.67,"Inactive",,,12,17.808655999999996,308.4990305509422,4,2,12,89.6,425.9664931960002,4.768,0,0.029411764705882353
"14730250","CN(C)C1=CC=C(C=C1)CNC2C3CC4CC(C3)CC2C4.Cl","Active",,17.01,"Inactive",,,6,34.76300299999999,314.706002574235,2,1,6,15.27,320.2019266080008,5.012999999999998,0,0.2549019607843137
"14730335","C1=CC=C(C=C1)/C=C\2/C(=C(C(=O)O2)C#N)C3=CC=CC=C3","Active",,23.17,"Active",,24.117,12,15.559276999999996,260.59097376448955,3,0,2,50.09,273.07897859200034,3.8700000000000006,0,0.0
"14730410","CCOC(=O)CSC1=NC=NC2=C1SC3=C2C4=C(CCCC4)C(=N3)N5CCOCC5","Active",,27.93,"Inactive",,,13,41.526968,366.21040048395207,7,0,7,130.98,444.1289826280007,3.368,0,0.2037037037037037
"14730420","CCOC1=C(C=CC(=C1)/C=N\NC(=O)CN2C(=CC(=N2)[N+](=O)[O-])C)OCC3=CC=CC4=CC=CC=C43","Inactive",,,"Active",">",40.0,21,36.01617499999999,429.8871956033748,4,1,13,120.88000000000001,487.18556890000065,5.75,0,0.08196721311475409
"14730495","C1=CC(=CC(=C1)Cl)C(C#N)C2=NC3=C(C=C2)C(=CC(=N3)C(F)(F)F)C(F)(F)F","Inactive",,,"Active","<",0.16,16,19.683655999999996,308.3569203527728,3,0,11,49.57,415.03109425600024,4.939,0,0.08333333333333333
"14730543","C1CCC2(C1)C(=C(NC(=C2C#N)SCC(=O)C3=CC=CC=C3)N)C#N","Inactive",,,"Inactive",,,6,24.235725999999993,334.13249507269614,5,2,5,128.0,350.12013219600055,3.657,0,0.13953488372093023
"14730663","C1COCCN1CC2=CC=C(C=C2)NC(=O)C3=CC=C(O3)C4=C(C=CC(=C4)Cl)Cl","Inactive",,,"Active",,29.263,17,30.13413999999999,362.00049341835194,4,1,7,54.71,430.08509786000053,4.2410000000000005,0,0.10204081632653061
"14730729","CN1CN(CSC1=S)CCOC2=CC=CC=C2OC","Active",,23.91,"Active",,7.541,6,30.889725999999992,263.83752856492265,2,0,7,82.33000000000001,298.0809698160005,2.1530000000000005,0,0.16216216216216217
"14730750","CC1=C(C=C(C=C1)C(=O)O/N=C(/C2=CC=C(C=C2)Br)\N)C","Inactive",,,"Inactive",,,12,19.902104999999995,276.54521850168965,2,1,8,64.67999999999999,346.03168982000045,5.323,0,0.05555555555555555
"14730815","C1=CC(=CC(=C1)NC(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5)C(F)(F)F","Inactive",,,"Inactive",,,26,27.003897999999992,350.6674703843042,4,1,8,81.16000000000001,449.09872596800034,4.316000000000001,0,0.02127659574468085
"14731067","CCC1=CC(=C(S1)NC(=O)C2=CC(=C(C(=C2)OCC)OCC)OCC)C(=O)OCC","Inactive",,,"Active",">",40.0,11,44.22300299999999,406.34713663180236,4,1,17,111.33,435.1715586480007,3.9779999999999998,0,0.1694915254237288
"14731109","CC1=CC=C(C=C1)OCCN2CCN(CC2)C3=C4C(=C(SC4=NC=N3)C)C","Active",,79.33,"Active",">",40.0,15,39.219381999999996,342.47738172602993,4,0,8,69.73,382.1827324520008,3.488999999999999,0,0.16981132075471697
"14731115","CCOC1=CC=C(C=C1)NC(=S)NC2=CC(=C(C=C2)C)[N+](=O)[O-].Cl","Active",">",100.0,"Inactive",,,12,25.729725999999996,319.3251369616846,2,2,10,108.52000000000001,367.0757401160005,4.225,0,0.07142857142857142
"14731232","C1C(C(C(=O)N1)C(=O)N/N=C\C2=CC=C(O2)C3=CC(=C(C=C3)Cl)Cl)C4=CC=CC=C4","Active",">",100.0,"Active",">",40.0,17,24.576518999999994,367.7243362249183,5,2,7,83.7,441.0646967640005,5.3420000000000005,0,0.06382978723404255
"14731278","COC1=CC=CC(=C1O)/C=N/NC2=C3C(=CSC3=NC=N2)C4=CC=CC=C4","Active",,6.44,"Active",,1.313,21,24.987311999999992,312.52578899752393,4,2,7,107.87,376.0993967520005,4.739,0,0.023255813953488372
